OTUs,1L02A,1L03A,1L04A,1L05A,1L06A,1L07A,1L08A,1L09A,1L10A,1L13A,1L14A,1W05A,1W06A,2CH02G,2CH03G,2CH05A,2CH06G,2CH07G,2CH08A,2CH10A,2CH11A,2CH12A,2CH13A,2CH14A,2CH15A,2CH19G,2CH20G,2CH22G,2CH24A,2CH28G,2CH29G,2CH30G,2CH31G,2CH32G,2CH35A,2CH36G,2CH37A,2CH39G,2CH42G,2CH43G,2CH44G,2CH45G,2CH46A,2CH48A,2CH49G,2CH54G,2CH55A,2CH56A,2CH57G,2W03A,3L01A,3L02A,3L03A,3W05A,3W07A,3W08A,3W09A,4L04A,4L05A,4L07A,4W02A,4W04A,4W06A,LC10i1A1,LC10i1B1,LC10i1C1,LC10i1D1,LC10i1E1,LC11i2A1,LC11i2B1,LC11i2C1,LC11i2D1,LC12i2A2,LC13i3A3,LC13i3B3,LC14i4A2,LC14i4B1,LC15i5A3,LC16i5A1,LC17i6A1,LC18i6A2,LC19i6A0,LC1i1A2,LC1i1B2,LC1i1C0,LC1i1D0,LC20i6A0,LC21i6A1,LC22i5A3,LC23i4A3,LC24i5A3,LC25i5A1,LC26i6A1,LC27i6A1,LC28i2A1,LC28i2B2,LC28i2C2,LC29i4A3,LC2i2A2,LC2i2B2,LC2i2C2,LC2i2D2,LC2i2E1,LC2i2F1,LC32i5A1,LC33i2A3,LC33i2B3,LC33i2C3,LC34i5A1,LC35i5A3,LC36i4A1,LC3i3A2,LC3i3B2,LC3i3C2,LC3i3D2,LC4i1A0,LC4i1B0,LC4i1C0,LC5i1A3,LC5i1B3,LC5i1C3,LC5i1D3,LC7i2A2,LC7i2B2,LC7i2C2,LC7i2D2,LC9i6A1,SP1i4A2,TU10i6A0,TU16i6A0,TU17i6A0,TU19i6A2,TU1i4A3,TU20i5A0,TU28i5A1,TU2i4A3,TU2i4B3,TU30i3A3,TU30i3D3,TU30i3E3,TU30i3F3,TU31i6A2,TU34i5A3,TU35i5A1,TU36i4A3,TU36i4B3,TU36i4C3,TU37i4A3,TU37i4B3,TU38i4A2,TU39i4B1,TU39i4C1,TU40i3A3,TU40i3B3,TU41i3A2,TU41i3B2,TU42i3A1,TU43i2A1,TU47i4A3,TU48i4A1,TU49i4A2,TU49i4B1,TU4i3A3,TU50i3A3,TU50i3B3,TU50i3C3,TU51i2A2,TU52i6A3,TU53i6A0,TU54i4A3,TU54i4B2,TU55i4A1,TU55i4B1,TU55i4C1,TU55i4D1,TU56i3A3,TU56i3B3,TU56i3C3,TU57i3A1,TU57i3B1,TU57i3C1,TU57i3D1,TU58i3A1,TU59i3A3,TU5i4A1,TU60i2A3,TU60i2B3,TU60i2C3,TU60i2D2,TU61i1A1,TU62i3A2,TU63i6A1,TU64i4A2,TU65i3A2,TU66i3A1,TU67i3A2,TU68i2A2,TU68i2B2,TU68i2C2,TU68i2D2,TU69i6A1,TU6i6A0,TU71i5A1,TU73i3A0,TU74i4A1,TU79i5A3,TU7i6A0,TU81i5A0,TU84i2A0,TU8i6A0,VM1i6A1,VM2i6A1,VM4i6A1,VM5i6A1
OTU_1,5,0,0,2,0,0,0,0,0,0,2,0,0,15039,49,0,3186,11260,2,3,0,22,0,0,4,0,0,1,1,20255,0,1,3,1,10061,6546,2,7259,8760,14912,23978,0,2,6,1,0,2,0,0,0,1,0,3,9,4,3,8,1,0,0,7,8,10,0,0,1,0,0,337,4,7,1,31,2,0,1790,5,0,0,3,5,10,0,0,0,0,14,6892,18732,7636,22,1394,23530,16889,13,24,17,0,9,2,0,1,23,0,358,6,14,7,7111,308,1016,0,0,4,1,3,2,2,0,1,1,0,0,1,0,0,13726,3709,2680,1,21863,174,2352,0,193,5870,2,129,13462,88,15879,61,4,1460,7762,7,6629,54,10859,12985,43,10,58,2,8,6,3,0,4022,5460,6041,9631,0,6659,2,5184,381,1,47,35028,22235,24,5320,768,1389,6,14345,41,59,9,1,4,1,13804,3,4,8,2,1558,0,913,0,1552,65,6,4,73,14,8,4,1920,0,13038,1,2685,3252,870,24,0,2855,10026,3104,7368,16
OTU_2,0,12,11,10,31,537,30,34,46,105,26,2,10,29,10,1,1,623,49,69,0,48,22,2,11,3,3,5,1,1404,0,0,11,0,17,0,28,1,0,28,0,77,1152,617,2,0,35,11,0,1,162,48,97,42,35,72,62,4703,427,1250,76,133,60,3,7,8,1,3,14,2,30,22,0,0,22,46,20,0,69,9,170,86,321,38,27,8,36,379,7,139,65,53,9,22,3,203,78,2,79,16,24,33,164,3,33,55,96,40,13,11,19,16,34,3,8,35,63,145,2,9,31,11,3,27,1,12,2,5,5,0,0,0,18,3,25,19,9,79,13,10,40,4,2,39,45,25,14,60,21,10,513,146,69,29,1,44,0,16,10,2,12,28,9,10,2,3,4,2088,7,38,15,36,2,16,22,0,1,1,8,36,0,0,0,11,7,8,2,9,5,7,4,0,0,37,3,39,14,8,0,2,18,1,1,3,6,1,1,5,1,3,6,1,11,1990
OTU_3,0,0,3,5,10,6,0,3,1,0,12,0,0,0,0,0,0,59,0,54,0,1,0,1,30,0,26,70,1,0,0,51,33,0,4,0,4,0,30,10,8,168,1096,60,0,0,5,2,251,0,19,0,5,0,0,0,8,13220,1447,3633,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,26,6,13,7,19,0,0,0,4,3,1,0,0,0,0,0,0,0,3,0,0,4,2,0,0,2,2,1,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,3,24,0,0,0,0,12,1,0,7,0,58,5,0,0,0,27,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2
OTU_4,23,5,6,10,6,3,1,4,3,2,16,0,16,164,1,24,37,171,7,8,17,21,5,26,9,5,2,13,14,25,2,40,7,26,33,8,20,2421,4055,0,10,55,6,9,4,0,89,29,15,9,16,65,9,25,10,16,25,25,77,400,142,276,306,35,23,30,10,1,42,36,116,43,112,41,28,26,7,0,21,32,1146,429,125,57,67,49,92,125,33,2231,418,116,62,12,110,270,206,64,94,19,17,75,218,1,299,286,648,336,57,14,38,34,49,41,18,21,43,51,28,38,9,35,6065,30,15,27,15,10298,0,0,5,7,0,6,105,17,0,20,35,82,57,1270,2,15,31,31,11,10,4,17,111,50,28,19,0,25,15,11,2,2,13,11,27,6,2,0,4,1,7,16,19,118,17,42,37,209,237,16,24,33,13,5,4,8,537,29,12,12,14138,10,611,0,4,12,14,95,7,9,46,61,3,1005,9,1,12,0,2,26,3,12,0,1,9,29
OTU_5,1,0,3,1,0,5,0,0,0,2,0,0,1,1,0,5,0,1,11,0,0,0,0,0,2,0,0,0,0,161,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,5,1,4,0,9,9,42,111,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,15,0,0,0,0,101,3,0,0,1,0,0,2,4,18,28,0,6,0,0,0,27,0,1,0,6,0,0,0,0,1,0,0,3,0,4,0,1,1,0,3,1,1,1,0,0,0,0,0,0,0,0,2,4617,6,0,3,3,2,1,120,0,1,10,0,0,2,0,3,8,12,2,0,0,2,2,0,0,2,0,0,3,0,0,0,1,768,3,4,3,4,0,2,0,0,1,0,0,4,0,0,3,4,6,5,0,0,2,0,1472,2,9,11,6,13,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU_6,16,4,27,8,16,29,9,10,20,13,21,3,54,119,1,127,19,648,1011,629,247,52,18,8,2,18,119,92,116,13,5,31,0,1,0,2,42,0,0,46,6,114,151,110,1,1,18,23,0,1,26,56,15,30,7,14,23,97,94,1123,4,16,27,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,3,1,2,0,2,0,0,1,1,0,0,0,0,3,3,0,7,0,5,27,3,0,2,2,12,9,2,0,1,2,7,5,2,15,0,3,1,0,0,0,0,0,0,0,0,6,0,0,1,0,1,13,1,0,2,1,7,0,17,5,0,12,9,45,0,16,7,2,21,23,11,0,0,12,0,0,0,12,1,7,31,4,1,1,0,0,0,7,6,5,3,2,6,0,0,5,0,5,0,0,0,1,0,10,2,0,0,0,0,0,0,6,0,2,0,0,3,4,8,0,0,0,2,1,0,9,148,180,2,3,0,4
OTU_7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,10,19,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3953,10989,0,0,0,0,0,3763,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19524,21,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8438,16315,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6244,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_182,5,8,12,16,14,11,6,9,8,8,47,0,2,2,0,12,0,0,5,14,0,18,0,0,10,0,0,0,6,38,0,5,0,0,0,0,8,0,5,5,0,0,6,2,0,0,67,13,11,3,22,0,0,26,7,14,5,0,1,4,103,80,436,1,1,0,0,0,0,8,10,1,0,2,0,20,26,0,66,2,1,2,8,1,2,1,2,0,0,0,11,1,0,1,172,29,38,6,22,6,0,31,19,0,6,6,20,18,3,0,4,1,41,15,1,49,94,60,42,5,7,33,9,3,37,12,4,13,0,0,1,3,0,3,31,11,1,162,13,23,13,7,0,9,10,27,18,13,1,0,167,24,20,12,0,3,0,14,0,9,7,5,41,0,0,0,2,0,0,0,5,2,2,3,1,0,0,7,3,2,0,0,0,0,4,3,4,0,0,0,0,1,0,11,0,0,1,0,4,23,0,0,0,0,0,0,0,0,0,0,4,0,2,66
OTU_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
OTU_9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4150,19,21,8,0,1,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980,0,0,8,0,0,0,0
OTU_10,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1,2,0,6,0,7,0,27,0,1,2,0,0,0,0,0,0,10,0,0,1,0,0,1,23,0,0,7,23,0,1,0,0,40,1,4,1214,0,0,0,0,122,6,48,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,1,5,0,22,8,10,0,1,5,3,2,1,0,0,0,11,0,0,2,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,11,1,6,0,0,6,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,7,2,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
OTU_15,189,131,1757,30,280,432,109,262,90,523,344,1,34,61,2,125,5,31,30,223,13,69,6,13,10,161,5,12,27,42,6,13,5,1,16,10,14,35,20,32,26,34,911,2643,0,11,26,2,18,2,29,47,53,120,29,18,26,3172,240,1243,70,25,143,11,0,13,1,3,18,4,15,9,3,0,9,18,23,0,22,10,63,17,361,47,2,1,15,8,2,25,56,40,3,8,6,29,32,2,14,23,11,28,53,7,15,30,97,30,5,2,5,13,22,9,0,12,3,61,4,13,0,15,3,2,0,1,0,11,8,0,0,0,20,4,8,11,0,9,12,13,13,4,3,1,6,15,10,6,14,0,329,50,55,37,17,34,5,2,1,11,5,2,73,37,0,1,4,1,1,97,16,29,30,35,19,0,1,20,111,2,0,11,8,9,20,11,4,3,19,4,40,0,5,0,16,5,21,8,39,39,25,0,2,0,40,0,0,4,2,2,4,0,28,202
OTU_30,25,24,35,27,27,20,19,11,9,23,36,3,42,14,0,13,2,7,21,21,0,77,37,31,15,27,0,38,50,0,1,0,11,9,21,0,55,0,0,5,569,11771,18,21,2,14,61,48,0,27,24,41,43,54,74,25,51,0,4,3,104,104,297,0,3,4,3,0,4,2,2,17,21,12,30,29,1912,0,9323,19580,655,230,20,15,15,14,78,44,6,472,9487,12,24,9,32,16,9,23,15,15,12,27,61,4,16,23,21,16,6,3,1,9,31,1868,21,20,6,23,17,13,13,16,4,6,15,13,2,10,0,0,2,1,0,0,11,1225,0,14,7,8,12,7,0,4648,775,5,4,2,964,57,96,108,55,24,0,3,24,4,6,1,1005,9,43,0,0,4,0,0,659,9,8,3,1,3,9,0,280,15,24,12,4,8,21,0,15,13,4,6,4,5,2472,1,0,5,4398,332,6,0,19,15,3878,0,111,11,84,22,0,15,0,2,1,3,7,20
OTU_12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_11,0,0,53,0,0,0,1,5,4,4,13,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,1,0,0,1,31,3,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_76,0,0,1,2,3,2,3,1,2,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0
OTU_21,5,0,2,3,1,1,1,0,2,5,1,1,5,0,0,0,0,5,3,3,0,16,3,0,11,348,0,0,2,0,0,32,1,0,0,0,3,0,0,46,19,1147,5952,6516,0,0,11,3,1,0,0,12,3,1,2,2,4,746,638,294,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,7,0,0,0,1,19,7,4,2,0,4,3,6,0,5,2,0,0,1,3,0,10,0,13,0,13,4,14,3,41,5,131,36,11,5,10,1,11,1,4,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,3,27,2,0,0,0,2,2,1,0,0,12,7,3,13,0,6,0,0,0,4,0,8,0,2,1,0,0,0,0,155,0,72,1,105,5,0,1,8,8,0,0,6,1,13,21,7,18,0,2,0,2,0,0,0,0,0,20,0,0,1,0,0,0,3,0,2,0,15,0,2,15,0,0,127
OTU_18,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_23,23,0,2,7,12642,0,0,1,11549,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,0,0,4134,0,4770,9,31,1,1,0,0,0,1,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0
OTU_14,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,4,0,1,0,0,2,0,7,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,2,2,0,0,1,2,0,9,6,3,15,0,5,2,0,0,1,0,2,0,3,0,1,0,0,0,0,1,0,0,1,4,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU_19,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,633,0,0,0,4,0,9324,1287,0,2,0,1,2,1,1,5,0,0,20,22,1,0,7,4,7,6,0,22,0,17,2,0,0,1,3,2335,1,0,0,0,2,0,10,0,0,0,0,0,11077,5,0,0,0,0,3,88,5,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,5,0,0,5
OTU_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,113,0,0,0,0,11,0,0,0,73,4,0,0,0,0,0,0,0,0,19,4,2,0,1,162,15,25,0,26,3,37,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_24,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,1,0,11,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,3,2,0,3,0,0,0,15,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,7,1,0,13,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,5,2,2,0,0,2,2,4,4,0,0,0,0,7,0,0,0,0,1,0,0,1,4,1,0,2,4,4,2,0,0,0,0,0,0,0,0,0,154,17,28,0,20,7,0,7,0,0,3,1,0,0,0,1151,0,0,1,11,3,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,5,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
OTU_26,0,1,14,3,2,0,6,2,0,1,5,0,0,0,0,35,15,25,26,24,4,1,0,21,12,1,0,0,12,9,0,14,22,0,28,0,23,0,1,0,0,0,1,0,0,0,16,7,0,0,3,0,0,5,1,0,1,2,1,2,69,20,18,1,1,4,1,0,12,6,20,27,11,18,32,0,53,0,0,17,78,72,156,57,40,61,11,9,8,25,8,17,47,11,208,273,155,15,35,55,57,77,125,16,11,44,47,21,5,3,4,47,64,49,29,26,7,46,21,24,17,17,4,13,41,35,3,68,0,0,11,0,0,36,6,4,0,33,20,31,13,1,0,8,5,6,1,5,2,6,41,19,16,4,0,0,2,0,0,3,4,5,6,5,1,1,0,0,3,1,7,7,1,5,23,0,1,4,0,28,1,1,0,3,0,3,10,1,1,12,9,0,3,13,30,26,26,29,21,35,12,0,1,5,5,2,2,3,0,1,2,1,0,12
OTU_17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
OTU_28,0,0,18,4,3,7,10,6,8,31,18,0,14,14,0,174,19,335,463,397,114,10,3,23,6,25,30,21,54,3,0,19,14,1,0,0,26,0,0,9,3,139,125,153,5,3,6,6,0,1,4,6,0,2,0,3,3,3,18,5,6,7,1,1,1,1,8,0,8,13,6,0,0,0,13,9,4,0,1,0,22,6,13,2,7,1,2,0,0,0,2,0,0,0,0,22,10,1,15,13,5,14,9,0,3,1,6,10,4,1,1,10,9,1,5,13,15,1,7,3,0,1,1,3,5,0,0,4,0,0,0,0,0,10,9,0,0,6,4,6,13,0,0,7,4,24,2,12,6,0,31,2,22,1,0,12,0,0,0,1,1,0,13,0,0,0,3,0,1,4,1,1,3,32,1,0,1,3,1,3,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,8,1,5,1,15,0,1,1,0,0,0,0,6,0,0,1,0,1,0
