Samples,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration,,,
PKRPL5R1C,LAST,H6,PKRhodnius,sample,NA,NA,colony,Rprolixus,L5,L4_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PKRPL5R1C,NA,59.986,,,
PKRPL5R1B,NIC,F12,PKRhodnius,sample,NA,NA,colony,Rprolixus,L5,L4_6,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,PKRPL5R1B,NA,42.996,,,
PKRPL5R1A,REP,F12,PKRhodnius,sample,NA,NA,colony,Rprolixus,L5,L4_6,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,PKRPL5R1A,NA,30.126,,,
LC1A,LAST,B4,Reduvius,sample,NA,NA,field,Rsp,L5,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC1A,NA,26.828,,,
LC2A,LAST,C4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC2A,179.343,38.232,,,
LC2B,LAST,D4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC2B,76.661,36.261,,,
LC2C,LAST,E4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC2C,461.966,36.723,,,
LC2D,LAST,F4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC2D,220.121,29.663,,,
LC2E,LAST,G4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC2E,268.001,41.006,,,
LC4A,LAST,H4,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC4A,195.309,40.676,,,
LC4B,LAST,A5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC4B,126.101,28.488,,,
LC4C,LAST,B5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC4C,8.26,28.415,,,
LC4D,LAST,C5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC4D,108.876,41.228,,,
LC5A,LAST,D5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC5A,50.302,18.385,,,
LC5B,LAST,E5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC5B,133.013,19.485,,,
LC5C,LAST,F5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC5C,116.457,20.837,,,
LC6A,LAST,G5,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC6A,21.249,31.103,,,
LC6B,LAST,H5,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC6B,28.359,32.22,,,
LC6C,LAST,A6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC6C,25.328,17.533,,,
LC6D,LAST,B6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC6D,27.644,21.376,,,
LC6E,LAST,C6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC6E,16.568,22.623,,,
LC6F,LAST,D6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC6F,NA,29.721,,,
LC6G,LAST,E6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,-110.62289,6/7/2018,NA,LC6G,7.42,20.767,,,
1CB01A,REP,D2,Triatoma,sample,P,Tc2,field,Tgerstaeckeri,L6,L4_6,female,no,NA,Camp_Bullis,TX,0,NA,NA,6/29/2017,NA,1CB01A,NA,44.635,,,
1L01A,REP,A1,Triatoma,sample,P,TcMIX,field,Tgerstaeckeri,L6,L4_6,male,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L01A,NA,42.286,,,
1L02A,REP,C6,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L02A,NA,24.773,,,
1L06A,REP,B1,Triatoma,sample,N,N,field,Tgerstaeckeri,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L06A,NA,56.443,,,
1L10A,REP,C1,Triatoma,sample,N,N,field,Tgerstaeckeri,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L10A,NA,63.728,,,
1L14A,REP,D1,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L14A,NA,50.925,,,
1W05A,REP,E2,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,1W05A,NA,85.495,,,
2CH05A,REP,C12,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH05A,NA,7.24,,,
2CH08A,REP,F10,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,whitish,2CH08A,NA,42.071,,,
2CH10A,REP,G10,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,green,2CH10A,NA,64.151,,,
2CH11A,REP,H10,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH11A,NA,32.91,,,
2CH12A,REP,H11,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH12A,NA,24.062,,,
2CH13A,REP,A11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH13A,NA,7.327,,,
2CH15A,REP,B11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH15A,NA,9.564,,,
2CH16G,REP,E9,Triatoma,sample,FALSE,Undetermined,field,Tgerstaeckeri,L4,L4_6,NA,NA,1,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,weird,2CH16G,NA,18.202,,,
2CH19G,REP,G9,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH19G,NA,18.373,,,
2CH20G,REP,H9,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,0,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH20G,NA,9.761,,,
2CH22G,REP,A10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH22G,NA,15.018,,,
2CH24A,REP,C11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH24A,NA,47.259,,,
2CH26A,REP,D11,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L2,L1_3,NA,no,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH26A,NA,19.83,,,
2CH27G,REP,F9,Triatoma,sample,P,TcMIX,field,Tgerstaeckeri,L4,L4_6,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH27G,NA,24.619,,,
2CH29G,REP,C9,Triatoma,sample,N,N,field,Tgerstaeckeri,L5,L4_6,NA,no,2,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH29G,NA,17.679,,,
2CH31G,REP,B10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,0,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,green,2CH31G,NA,18.216,,,
2CH32G,REP,C10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH32G,NA,20.608,,,
2CH37A,REP,E11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,no,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,whitish,2CH37A,NA,24.667,,,
2CH48A,REP,A12,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,whitish,2CH48A,NA,16.921,,,
2CH49G,REP,D9,Triatoma,sample,N,N,field,Tgerstaeckeri,L5,L4_6,NA,yes,4,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,yellow_faeces,2CH49G,NA,27.745,,,
2CH53G,REP,D10,Triatoma,sample,P,Tc2,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH53G,NA,29.124,,,
2CH54G,REP,E10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,1,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH54G,NA,19.926,,,
2CH55A,REP,F11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH55A,NA,46.785,,,
2CH56A,REP,G11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH56A,NA,42.307,,,
2CH57G,REP,B12,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,yes,2,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,green,2CH57G,NA,2.516,,,
2L04A,REP,E1,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,2L04A,NA,150.552,,,
3L01A,REP,F1,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L01A,NA,18.042,,,
3L02A,REP,G1,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L02A,NA,22.834,,,
3L03A,REP,H1,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L03A,NA,28.958,,,
3W04A,REP,B6,Triatoma,sample,P,TcMIX,field,Tgerstaeckeri,L3,L1_3,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W04A,NA,39.71,,,
4L01A,REP,A2,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L01A,NA,70.847,,,
4L02A,REP,B2,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L02A,NA,60.687,,,
4L03A,REP,C2,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L5,L4_6,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L03A,NA,70.939,,,
4W02A,REP,F2,Triatoma,sample,N,N,field,Tgerstaeckeri,L2_3,L1_3,NA,NA,NA,Lackland_AFB,TX,0,NA,NA,NA,NA,4W02A,NA,51.055,,,
4W03A,REP,G2,Triatoma,sample,FALSE,Undetermined,field,Tgerstaeckeri,L2_3,L1_3,NA,NA,NA,Lackland_AFB,TX,0,NA,NA,NA,NA,4W03A,NA,64.078,,,
4W04A,REP,H2,Triatoma,sample,N,N,field,Tgerstaeckeri,L2_3,L1_3,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,4W04A,NA,55.369,,,
4W06A,REP,A3,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Lackland_AFB,TX,0,NA,NA,NA,NA,4W06A,NA,1.226,,,
2CH01G,REP,E6,Triatoma,sample,P,TcMIX,field,Tlecticularia,L6,L4_6,male,NA,3,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH01G,NA,21.35,,,
2CH02G,REP,F6,Triatoma,sample,N,N,field,Tlecticularia,L6,L4_6,male,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH02G,NA,18.949,,,
