Samples,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration,,,
LC34i5A1,1,D11,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,LCNCA,AZ,nest5,31.76432,-110.62289,6.7.2018,NA,LC34i5A1,110.427,11.726,,,
LC35i5A3,1,E11,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,3,LCNCA,AZ,nest5,31.76432,-110.62289,6.7.2018,NA,LC35i5A3,130.757,8.075,,,
LC36i4A1,1,F11,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,1,LCNCA,AZ,nest5,31.76432,-110.62289,6.7.2018,NA,LC36i4A1,50.449,11.817,,,
LC9i6A1,1,A9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC9i6A1,413.874,38.789,,,
SP1i4A2,1,H8,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,2,SPRNCA,AZ,nest1,31.550325,-110.14272,6.7.2018,NA,SP1i4A2,60.421,21.071,,,
TU20i5A0,1,B3,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU20i5A0,340.995,30.764,,,
TU23i6A1,1,E3,Triatoma,sample,P,TcMIX,field,Tprotracta,L6,L4_6,female,yes,1,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU23i6A1,717.167,59.918,,,
TU26i5A3,1,H3,Triatoma,sample,P,Tc2,field,Tprotracta,L5,L4_6,NA,yes,3,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU26i5A3,87.315,14.499,,,
TU27i5A0,1,A4,Triatoma,sample,P,TcMIX,field,Tprotracta,L5,L4_6,NA,no,0,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU27i5A0,62.7,48.13,,,
TU28i5A1,1,B4,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU28i5A1,197.519,54.926,,,
TU31i6A2,1,C4,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,2,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU31i6A2,110.388,47.642,,,
TU32i6A2,1,D4,Triatoma,sample,P,TcMIX,field,Tprotracta,L6,L4_6,female,yes,2,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU32i6A2,56.982,30.887,,,
TU33i6A1,1,E4,Triatoma,sample,P,Tc1,field,Tprotracta,L6,L4_6,male,yes,1,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU33i6A1,100.799,48.675,,,
TU35i5A1,1,G4,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU35i5A1,33.543,22.992,,,
TU43i2A1,1,B5,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,yes,1,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU43i2A1,16.794,9.254,,,
TU52i6A3,1,A6,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU52i6A3,94.998,18.394,,,
TU53i6A0,1,B6,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,no,0,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU53i6A0,483.938,29.828,,,
TU58i3A1,1,C6,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU58i3A1,47.991,12.444,,,
TU59i3A3,1,D6,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU59i3A3,13.222,16.88,,,
TU61i1A1,1,E6,Triatoma,sample,N,N,field,Tprotracta,L1,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU61i1A1,4.52,11.833,,,
TU62i3A2,1,F6,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU62i3A2,19.122,22.895,,,
TU66i3A1,1,B7,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,1,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU66i3A1,NA,16.092,,,
TU69i6A1,1,D7,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,UADS,AZ,nest9,32.25354,-111.0884,11.7.2018,NA,TU69i6A1,117.468,19.348,,,
TU71i5A1,1,E7,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,UADS,AZ,nest10,32.25457,-111.08739,11.7.2018,NA,TU71i5A1,45.062,34.491,,,
TU81i5A0,1,A8,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,no,0,UADS,AZ,nest13,32.252297,-111.08656,12.7..2018,NA,TU81i5A0,78.595,27.29,,,
TU84i2A0,1,B8,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,no,0,UADS,AZ,nest13,32.252297,-111.08656,12.7..2018,NA,TU84i2A0,42.278,13.366,,,
VM4i6A1,1,F8,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LVH,AZ,LVH,32.229894,-111.07472,43252,NA,VM4i6A1,212.511,14.487,,,
B143,NIC,D3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B143,59.415,53.542,,,
B158,NIC,E2,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B158,110.55,0.832,,,
B31,NIC,H2,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B31,27.655,35.567,,,
B35,NIC,A3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B35,28.375,54.961,,,
B52,NIC,B3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B52,100.97,35.138,,,
B53,NIC,C3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B53,42.99,57.313,,,
B96,NIC,F1,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B96,210.755,71.002,,,
T24,NIC,G10,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T24,102.305,23.788,,,
T33,NIC,G11,Triatoma,sample,P,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T33,174.155,29.131,,,
T45,NIC,A4,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,Unknown,NA,T45,140.2,20.298,,,
T46,NIC,B4,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2016,NA,T46,305.265,11.737,,,
LC2i2F1,2,B2,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,yes,1,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC2i2F1,27.332,29.24,,,
LC3i3A2,2,C2,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC3i3A2,51.978,31.534,,,
LC3i3C2,2,E2,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC3i3C2,20.168,52.114,,,
LC3i3D2,2,F2,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC3i3D2,23.671,37.961,,,
TU49i4A2,2,E9,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,2,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU49i4A2,94.745,22.839,,,
TU49i4B1,2,F9,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,1,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU49i4B1,164.19,15.702,,,
TU50i3A3,2,G9,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU50i3A3,75.815,17.875,,,
TU50i3C3,2,A10,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU50i3C3,200.341,40.033,,,
TU56i3B3,2,A11,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU56i3B3,67.794,25.62,,,
JC1i4A2,1,H11,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,2,JC,AZ,JC,32.241693,-111.00941,10.7.2018,cockroach,JC1i4A2,348.331,15.801,,,
JC2i4A1,1,A12,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,1,JC,AZ,JC,32.241693,-111.00941,10.7.2018,cockroach,JC2i4A1,461.016,38.838,,,
JC3i4A1,1,B12,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,1,JC,AZ,JC,32.241693,-111.00941,10.7.2018,cockroach,JC3i4A1,340.687,37.918,,,
JC4i4A2,1,C12,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,2,JC,AZ,JC,32.241693,-111.00941,10.7.2018,cockroach,JC4i4A2,387.53,34.115,,,
JC6i4A3,1,E12,Triatoma,sample,NA,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,-111.00941,10.7.2018,blood,JC6i4A3,30.42,37.033,,,
JC7i4A3,1,F12,Triatoma,sample,NA,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,-111.00941,10.7.2018,blood,JC7i4A3,128.551,39.457,,,
JC8i4A3,1,G12,Triatoma,sample,NA,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,-111.00941,10.7.2018,blood,JC8i4A3,359.769,40.739,,,
JC9i4A3,1,H12,Triatoma,sample,NA,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,-111.00941,10.7.2018,blood,JC9i4A3,106.317,19.237,,,
TU6i6A0,1,D1,Triatoma,sample,N,N,field,Trecurva,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU6i6A0,563.232,41.659,,,
JC10i4A3,2,E6,Triatoma,sample,NA,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,-111.00941,10.7.2018,blood,JC10i4A3,167.033,24.45,,,
B140,NIC,A2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B140,473.2,35.507,,,
B152,NIC,B2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B152,69.57,42.455,,,
B153,NIC,C2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B153,147.105,50.895,,,
B156,NIC,D2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B156,190.61,46.236,,,
B36,NIC,A1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B36,15.595,24.802,,,
B39,NIC,B1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B39,57.595,51.576,,,
B42,NIC,C1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B42,44.775,25.488,,,
B45,NIC,D1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B45,312.905,9.538,,,
B48,NIC,E1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B48,312.67,56.003,,,
T16,NIC,G9,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T16,116,84.661,,,
T23,NIC,F10,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T23,142.73,17.997,,,
T31,NIC,E11,Triatoma,sample,P,NA,field,Trecurva,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T31,163.74,15.12,,,
T32,NIC,F11,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T32,185.76,39.062,,,
LC12i2A2,1,B9,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC12i2A2,7.337,9.593,,,
LC15i5A3,1,C9,Triatoma,sample,N,N,field,Trubida,L5,L4_6,NA,yes,3,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC15i5A3,60.157,26.379,,,
LC16i5A1,1,D9,Triatoma,sample,N,N,field,Trubida,L5,L4_6,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC16i5A1,22.609,22.425,,,
LC17i6A1,1,E9,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,yes,1,LCNCA,AZ,nest3,31.74319,-110.59102,3.7.2018,NA,LC17i6A1,177.407,31.702,,,
LC26i6A1,1,F10,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,yes,1,LCNCA,AZ,nest4,31.76091,-110.61498,6.7.2018,NA,LC26i6A1,235.475,27.912,,,
LC32i5A1,1,C11,Triatoma,sample,N,N,field,Trubida,L5,L4_6,NA,yes,1,LCNCA,AZ,nest5,31.76432,-110.62289,6.7.2018,NA,LC32i5A1,185.349,10.86,,,
LC37i1A3,1,G11,Triatoma,sample,FALSE,Undetermined,field,Trubida,L1,L1_3,NA,yes,3,LCNCA,AZ,nest5,31.76432,-110.62289,6.7.2018,NA,LC37i1A3,2.952,8.424,,,
TU10i6A0,1,H1,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU10i6A0,230.226,53.752,,,
TU11i6A0,1,A2,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,female,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU11i6A0,274.259,41.834,,,
TU12i6A0,1,B2,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,female,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU12i6A0,542.728,65.808,,,
TU13i6A2,1,C2,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,female,yes,2,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU13i6A2,96.709,46.641,,,
TU14i6A0,1,D2,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU14i6A0,512.253,36.01,,,
TU15i6A0,1,E2,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,female,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU15i6A0,349.619,79.856,,,
TU16i6A0,1,F2,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU16i6A0,377.905,67.77,,,
TU17i6A0,1,G2,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU17i6A0,241.786,50.616,,,
TU18i6A0,1,H2,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU18i6A0,329.784,46.647,,,
TU19i6A2,1,A3,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU19i6A2,11.401,6.116,,,
TU1i4A3,1,A1,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest1,32.25781,-111.08358,8.7.2018,NA,TU1i4A3,NA,13.306,,,
TU21i6A1,1,C3,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,female,yes,1,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU21i6A1,695.906,46.752,,,
TU22i6A1,1,D3,Triatoma,sample,P,Tc1,field,Trubida,L6,L4_6,male,yes,1,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU22i6A1,671.499,39.809,,,
TU24i5A1,1,F3,Triatoma,sample,P,Tc2,field,Trubida,L5,L4_6,NA,yes,1,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU24i5A1,78.581,37.382,,,
TU25i5A3,1,G3,Triatoma,sample,P,Tc2,field,Trubida,L5,L4_6,NA,yes,3,UADS,AZ,nest3,32.25712,-111.08466,9.7.2018,NA,TU25i5A3,185.142,40.364,,,
TU38i4A2,1,H4,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,2,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU38i4A2,2.501,17.187,,,
TU42i3A1,1,A5,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest4,32.25675,-111.08572,9.7.2018,NA,TU42i3A1,28.344,9.277,,,
TU44i6A3,1,C5,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,male,yes,3,UADS,AZ,nest5,32.25621,-111.08688,10.7.2018,NA,TU44i6A3,557.374,28.027,,,
TU45i4A1,1,D5,Triatoma,sample,P,TcMIX,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest5,32.25621,-111.08688,10.7.2018,NA,TU45i4A1,87.429,21.666,,,
TU46i6A0,1,E5,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU46i6A0,220.204,17.294,,,
TU47i4A3,1,F5,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU47i4A3,91.192,12.116,,,
TU48i4A1,1,G5,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU48i4A1,115.871,14.692,,,
TU4i3A3,1,B1,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest2,32.25735,-111.08459,8.7.2018,NA,TU4i3A3,32.415,17.917,,,
TU51i2A2,1,H5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest6,32.25526,-111.08757,10.7.2018,NA,TU51i2A2,33.924,10.958,,,
TU5i4A1,1,C1,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest2,32.25735,-111.08459,8.7.2018,NA,TU5i4A1,110.098,51.886,,,
TU63i6A1,1,G6,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,yes,1,UADS,AZ,bob,32.258439,-111.08352,10.7.2018,NA,TU63i6A1,1244.868,12.297,,,
TU64i4A2,1,H6,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,2,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU64i4A2,64.869,11.682,,,
TU65i3A2,1,A7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU65i3A2,NA,10.15,,,
TU67i3A2,1,C7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU67i3A2,18.577,12.221,,,
TU73i3A0,1,F7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,no,0,UADS,AZ,nest10,32.25457,-111.08739,11.7.2018,NA,TU73i3A0,10.198,18.391,,,
TU74i4A1,1,G7,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest11,32.25219,-111.08548,12.7.2018,NA,TU74i4A1,51.203,18.93,,,
TU7i6A0,1,E1,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU7i6A0,357.109,49.686,,,
TU8i6A0,1,F1,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU8i6A0,330.504,39.932,,,
TU9i6A0,1,G1,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,female,no,0,UADS,AZ,bob,32.258439,-111.08352,19.5.2018,NA,TU9i6A0,307.85,39.187,,,
VM1i6A1,1,C8,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,yes,1,LVH,AZ,LVH,32.229894,-111.07472,43252,NA,VM1i6A1,162.622,41.214,,,
VM2i6A1,1,D8,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,yes,1,LVH,AZ,LVH,32.229894,-111.07472,43252,NA,VM2i6A1,199.764,34.016,,,
VM3i6A1,1,E8,Triatoma,sample,P,TcMIX,field,Trubida,L6,L4_6,male,yes,1,LVH,AZ,LVH,32.229894,-111.07472,43252,NA,VM3i6A1,136.72,43.753,,,
VM5i6A1,1,G8,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,yes,1,LVH,AZ,LVH,32.229894,-111.07472,43252,NA,VM5i6A1,67.801,18.783,,,
LC10i1A1,2,B4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC10i1A1,37.052,8.156,,,
LC10i1B1,2,C4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC10i1B1,18.329,6.935,,,
LC10i1C1,2,D4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC10i1C1,18.921,10.433,,,
LC10i1D1,2,E4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC10i1D1,19.81,11.037,,,
LC10i1E1,2,F4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC10i1E1,17.508,6.717,,,
LC11i2A1,2,G4,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC11i2A1,19.538,11.428,,,
LC11i2B1,2,H4,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC11i2B1,26.693,10.488,,,
LC11i2C1,2,A5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC11i2C1,26.685,41.355,,,
LC11i2D1,2,B5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC11i2D1,32.405,20.944,,,
LC13i3A3,2,C5,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC13i3A3,27.734,30.579,,,
LC13i3B3,2,D5,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC13i3B3,23.03,27.529,,,
LC14i4A2,2,E5,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,2,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC14i4A2,43.677,40.359,,,
LC14i4B1,2,F5,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,LCNCA,AZ,nest2,31.75919,-110.60395,2.7.2018,NA,LC14i4B1,86.912,28.011,,,
LC1i1A2,2,A1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC1i1A2,251.331,14.343,,,
LC1i1B2,2,B1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC1i1B2,109.904,27.332,,,
LC1i1C0,2,C1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,no,0,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC1i1C0,9.401,18.786,,,
LC1i1D0,2,D1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,no,0,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC1i1D0,11.911,21.359,,,
LC28i2A1,2,G5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest4,31.76091,-110.61498,6.7.2018,NA,LC28i2A1,10.952,21.179,,,
LC28i2B2,2,H5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest4,31.76091,-110.61498,6.7.2018,NA,LC28i2B2,40.224,34.367,,,
LC28i2C2,2,A6,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest4,31.76091,-110.61498,6.7.2018,NA,LC28i2C2,19.386,15.433,,,
LC2i2A2,2,E1,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC2i2A2,44.983,24.466,,,
LC2i2C2,2,G1,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC2i2C2,41.267,39.655,,,
LC2i2D2,2,H1,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,-110.60454,2.7.2018,NA,LC2i2D2,25.386,34.522,,,
