#SampleID,read after dec,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration
LC5i1C3,904,2,D3,Triatoma,sample,N,N,field,NA,L1,L1_3,NA,yes,3,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,Gryllus,LC5i1C3,26.354,11.933
LC7i2D2,781,2,A4,Triatoma,sample,N,N,field,NA,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,Gryllus,LC7i2D2,272.487,12.218
nk1,153,2,G12,Nkisolation,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nk1,0.24,7.574
nk2,28,2,H12,PCRwater,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nk2,1.189,8.342
22DS,231,LAST,G3,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22DS,NA,50.256
28DS,16,LAST,H3,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28DS,NA,40.023
36DS,119,LAST,A4,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36DS,NA,36.958
7DS,202,LAST,F3,DasaSample,sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7DS,NA,54.554
MCE2,42369,LAST,F6,MockEqual,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCE2,NA,69.972
MCS2,33502,LAST,G6,MockScatered,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCS2,NA,31.293
Nkwater,110,LAST,A1,PCRwater,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nkwater,5.774,15.844
MCE1,22706,NIC,D12,MockEqual,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCE1,NA,30.361
MCS1,26334,NIC,E12,MockScatered,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCS1,NA,36.617
NKISO2,26,NIC,G12,Nkisolation,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NKISO2,NA,2.903
PCR01,51,NIC,H12,PCRwater,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PCR01,NA,3.48
MCEREP,25587,REP,D12,MockEqual,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCEREP,NA,43.103
MCSREP,31486,REP,E12,MockScatered,positivecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCSREP,NA,16.05
NKISO1,24,REP,G12,Nkisolation,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NKISO1,NA,3.246
PCR0,38,REP,H12,PCRwater,negativecontrol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PCR0,NA,3.2
PKRPL5R1C,55701,LAST,H6,PKRhodnius,sample,NA,NA,colony,Rprolixus,L5,L4_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PKRPL5R1C,NA,59.986
PKRPL5R1B,34501,NIC,F12,PKRhodnius,sample,NA,NA,colony,Rprolixus,L5,L4_6,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,PKRPL5R1B,NA,42.996
PKRPL5R1A,31181,REP,F12,PKRhodnius,sample,NA,NA,colony,Rprolixus,L5,L4_6,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,PKRPL5R1A,NA,30.126
LC1A,20259,LAST,B4,Reduvius,sample,NA,NA,field,Rsp,L5,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC1A,NA,26.828
LC2A,6105,LAST,C4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC2A,179.343,38.232
LC2B,16639,LAST,D4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC2B,76.661,36.261
LC2C,3374,LAST,E4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC2C,461.966,36.723
LC2D,7930,LAST,F4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC2D,220.121,29.663
LC2E,8787,LAST,G4,Reduvius,sample,NA,NA,field,Rsp,L4,L4_6,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC2E,268.001,41.006
LC4A,10039,LAST,H4,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC4A,195.309,40.676
LC4B,14898,LAST,A5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC4B,126.101,28.488
