OTUs,Domain,Phylum,Class,Order,Family,Genus
OTU_1903,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae, D_5__Acidiphiliumuncultured bacterium
OTU_3046,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae, D_5__Acidiphiliumuncultured bacterium
OTU_3324,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae, D_5__Acidiphiliumuncultured bacterium
OTU_4807,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae, D_5__Acidiphiliumuncultured bacterium
OTU_5474,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae, D_5__Acidiphiliumuncultured soil bacterium
OTU_4389,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales Incertae Sedis, D_5__Aciditerrimonasuncultured soil bacterium
OTU_1618,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1), D_5__Acidobacteriumuncultured bacterium
OTU_3121,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1), D_5__Acidobacteriumuncultured bacterium
OTU_712,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae, D_5__Acidocellauncultured eubacterium WD238
OTU_4925,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae, D_5__Acidothermusuncultured bacterium
OTU_2131,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae, D_5__Acidothermusuncultured bacterium
OTU_3788,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae, D_5__Acidothermusuncultured bacterium
OTU_4244,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae, D_5__Acidothermusuncultured bacterium
OTU_5036,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae, D_5__Acidothermusuncultured bacterium
OTU_2927,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae, D_5__Acidothermusuncultured bacterium
OTU_143,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae, D_5__Acidovoraxuncultured bacterium
OTU_121,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae, D_5__AcinetobacterAcinetobacter rudis CIP 110305
OTU_77,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae, D_5__Acinetobacteruncultured bacterium
OTU_21,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae, D_5__Acinetobacteruncultured bacterium
OTU_1641,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae, D_5__Acinetobacterunidentified marine bacterioplankton
OTU_5103,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria, D_5__Acorus gramineus
OTU_5138,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae, D_5__ActinoallomurusActinoallomurus radicium
OTU_425,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__ActinoalloteichusActinoalloteichus sp. AH97
OTU_545,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae, D_5__ActinobacillusActinobacillus pleuropneumoniae
OTU_2624,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae, D_5__Actinocatenisporauncultured bacterium
OTU_2160,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae, D_5__Actinocoralliauncultured bacterium
OTU_459,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__ActinokineosporaActinokineospora sp. SA13
OTU_665,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae, D_5__ActinomaduraActinomadura flavalba DSM 45200
OTU_214,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae, D_5__ActinomaduraActinomadura sp. 6192
OTU_1127,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae, D_5__Actinomadurauncultured bacterium
OTU_289,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae, D_5__ActinomycesActinomyces denticolens
OTU_1840,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae, D_5__ActinomycesActinomyces sp. MS2
OTU_3980,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae, D_5__Actinomycesuncultured bacterium
OTU_2048,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae, D_5__Actinomycesunidentified marine bacterioplankton
OTU_2725,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__Actinomycetosporauncultured bacterium
OTU_618,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__Actinophytocolauncultured bacterium
OTU_482,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__Actinophytocolauncultured bacterium
OTU_2588,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae, D_5__Actinoplanes sp. A-T 5190
OTU_3316,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae, D_5__ActinoplanesActinoplanes liguriensis
OTU_3178,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae, D_5__Actinoplanesuncultured bacterium
OTU_4496,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae, D_5__Actinospicauncultured bacterium
OTU_1022,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__ActinosynnemaActinosynnema pretiosum subsp. pretiosum
OTU_2672,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae, D_5__ActinosynnemaActinosynnema pretiosum subsp. pretiosum
OTU_310,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__AdhaeribacterAdhaeribacter aerophilus
OTU_3717,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_367,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_1532,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_3236,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_2887,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_1373,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_1487,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_3479,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
OTU_4730,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured bacterium
