OTUs,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_2990,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_737,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured Acidobacteria bacterium
OTU_2996,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured Acidobacteriaceae bacterium
OTU_480,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured Acidobacteriaceae bacterium
OTU_3103,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_3102,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Candidatus Solibacter,uncultured bacterium
OTU_3986,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Candidatus Solibacter,uncultured forest soil bacterium
OTU_3968,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Candidatus Solibacter,uncultured Acidobacteria bacterium
OTU_3348,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,uncultured soil bacterium,,
OTU_1096,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Candidatus Solibacter,uncultured bacterium
OTU_3294,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_1232,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_5601,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_1632,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured Acidobacteria bacterium
OTU_3163,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_952,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_1356,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_3012,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,SJA-149,uncultured bacterium,
OTU_3783,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Candidatus Solibacter,uncultured bacterium
OTU_1340,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Candidatus Solibacter,uncultured bacterium
OTU_3971,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Candidatus Solibacter,uncultured Acidobacteriales bacterium
OTU_2512,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured Acidobacteria bacterium
OTU_1310,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_5499,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_4671,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_3123,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_4966,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_2555,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_5463,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_1883,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_4828,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_2605,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_1248,Bacteria,Acidobacteria,Acidobacteria,Subgroup 3,Unknown Family,Bryobacter,uncultured bacterium
OTU_1249,Bacteria,Lentisphaerae,Lentisphaerae RFP12 gut group,uncultured bacterium,,,
OTU_5612,Bacteria,Acidobacteria,Acidobacteria,Subgroup 2,uncultured bacterium,,
OTU_4813,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured deep-sea bacterium,,
OTU_3025,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured bacterium,,
OTU_1259,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured Acidobacteria bacterium,,
OTU_2552,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured bacterium,,
OTU_5065,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured Acidobacteria bacterium,,
OTU_1131,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured Acidobacteria bacterium,,
OTU_1901,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured bacterium,,
OTU_2688,Bacteria,Acidobacteria,Acidobacteria,Subgroup 5,uncultured bacterium,,
OTU_3220,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured bacterium
OTU_1618,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidobacterium,uncultured bacterium
